id,experiment,model,disease,variable,tag,score,ranking
407,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,1.0,1
243,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,1.0,2
37,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,1.0,3
221,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,1.0,4
39,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,1.0,5
441,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,1.0,6
31,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,1.0,7
80,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,1.0,8
178,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,1.0,9
19,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,1.0,10
20,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,1.0,11
370,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,1.0,12
285,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,1.0,13
57,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,1.0,14
346,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,1.0,15
394,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,1.0,16
265,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,1.0,17
157,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,1.0,18
120,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.875,19
436,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.875,20
104,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.875,21
87,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.875,22
117,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.875,23
349,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.875,24
163,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.875,25
240,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.75,26
298,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,27
297,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,28
174,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.75,29
12,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,30
411,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,31
389,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.75,32
279,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,33
331,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,34
320,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.75,35
54,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,36
230,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,37
21,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,38
70,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,39
190,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,40
444,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,41
288,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,42
119,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.75,43
28,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,44
161,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,45
88,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.75,46
326,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,47
132,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.75,48
86,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.75,49
412,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,50
167,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.75,51
254,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,52
438,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.75,53
282,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,54
155,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,55
89,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.75,56
384,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.75,57
2,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,58
185,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,59
43,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,60
397,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.75,61
393,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,62
109,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,63
274,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,64
216,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,65
15,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.75,66
8,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,67
151,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,68
1,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,69
281,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,70
263,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.75,71
108,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.75,72
29,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.75,73
38,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,74
347,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,75
256,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,76
53,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,77
356,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,78
344,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,79
262,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,80
433,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,81
18,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,82
424,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,83
312,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.75,84
246,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,85
172,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.75,86
164,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,87
410,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.75,88
449,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,89
79,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,90
32,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,91
374,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,92
126,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,0.0,0.75,93
144,h-05-single-answer-3,gpt-4o-mini,cchf,rainfall,1.0,0.75,94
