id,experiment,model,disease,variable,tag,score,ranking
441,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,1.0,1
19,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,1.0,2
20,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,1.0,3
285,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,1.0,4
346,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,1.0,5
407,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.9375,6
243,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.9375,7
240,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.9375,8
321,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.9375,9
411,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.9375,10
37,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.9375,11
221,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.9375,12
436,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.9375,13
31,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.9375,14
104,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.9375,15
80,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.9375,16
254,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.9375,17
178,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.9375,18
384,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.9375,19
397,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.9375,20
349,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.9375,21
15,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.9375,22
370,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.9375,23
263,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.9375,24
108,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.9375,25
394,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.9375,26
410,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.9375,27
265,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.9375,28
157,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.9375,29
438,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.875,30
29,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.875,31
57,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.875,32
389,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.8125,33
118,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.8125,34
320,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.8125,35
230,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.8125,36
308,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.8125,37
86,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.8125,38
87,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.8125,39
89,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.8125,40
2,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.8125,41
433,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.8125,42
172,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.8125,43
298,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.75,44
297,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.75,45
12,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.75,46
120,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.75,47
331,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.75,48
39,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.75,49
54,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.75,50
200,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.75,51
21,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.75,52
401,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.75,53
70,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.75,54
220,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.75,55
444,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.75,56
288,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.75,57
119,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.75,58
161,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.75,59
88,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.75,60
132,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.75,61
412,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.75,62
155,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.75,63
278,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.75,64
185,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.75,65
117,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.75,66
43,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.75,67
393,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.75,68
216,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.75,69
361,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.75,70
151,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.75,71
1,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,0.0,0.75,72
101,h-05-single-answer-5,gpt-4o-mini,cchf,rainfall,1.0,0.75,73
